id,molecule_id,activity,logp,mweight
1,i100_02_7i,4.53367,1.91,139.11
2,i100_21_0i,4.56435,1.76,166.131
3,i100_41_4i,5.04986,3.03,106.167
4,i100_42_5i,6.22258,2.89,104.151
5,i100_44_7i,6.04025,2.79,126.585
6,i100_75_4i,7.82244,0.72,114.147
7,i101_14_4i,7.82244,3.47,267.158
8,i101_61_1i,7.82244,4.37,254.375
9,i101_68_8i,6.04025,5.22,250.256
10,i101_77_9i,4.56435,2.18,198.268
11,i101_80_4i,7.82244,2.22,200.24
12,i1024_57_3i,8.85652,4.91,389.319
13,i103_23_1i,6.04025,8.12,370.57
14,i104_94_9i,6.04025,1.16,123.154
15,i105_67_9i,4.56435,2.61,122.166
16,i106_42_3i,6.04025,3.09,106.167
17,i106_44_5i,2.14007,2.06,108.139
18,i106_46_7i,7.82244,3.28,147.004
19,i106_50_3i,6.04025,-0.39,108.143
20,i106_51_4i,4.10264,0.25,108.096
21,i106_88_7i,6.04025,0.86,72.1062
22,i106_89_8i,6.04025,0.63,92.5245
23,i106_93_4i,7.82244,2.01,199.956
24,i106_99_0i,6.04025,2.03,54.0914
25,i107_02_8i,6.04025,0.19,56.0636
26,i107_05_1i,6.04025,1.93,76.5255
27,i107_06_2i,8.1197,1.83,98.9596
28,i107_13_1i,5.67332,0.21,53.0637
29,i107_18_6i,4.56435,0.21,58.0794
30,i107_21_1i,5.12396,-1.2,62.0674
31,i107_30_2i,6.04025,0.32,80.5135
32,i108_10_1i,4.56435,1.16,100.16
33,i108_38_3i,6.04025,3.09,106.167
34,i108_39_4i,5.91889,2.06,108.139
35,i108_45_2i,6.04025,-0.39,108.143
36,i108_60_1i,7.77317,2.39,171.066
37,i108_78_1i,7.82244,-0.38,126.122
38,i108_88_3i,5.743,2.54,92.1402
39,i108_90_7i,7.8694,2.64,112.559
40,i108_95_2i,3.80666,1.51,94.1124
41,i109_86_4i,6.04025,-0.91,76.0942
42,i110_00_9i,6.04025,1.36,68.0746
43,i110_80_5i,6.04025,-0.42,90.121
44,i110_82_7i,7.82244,3.18,84.1608
45,i110_86_1i,4.56435,0.8,79.1015
46,i1116_54_7i,7.70526,-1.28,134.134
47,i111_42_2i,4.51305,-1.71,105.136
48,i111_44_4i,7.82244,1.56,143.012
49,i111_76_2i,6.04025,0.57,118.175
50,i111_90_0i,6.04025,-0.69,134.174
51,i1120_71_4i,6.04025,-0.28,122.143
52,i114_26_1i,6.04025,1.9,209.244
53,i115_02_6i,6.04025,-2.36,173.127
54,i115_07_1i,6.04025,1.68,42.0804
55,i115_29_7i,5.2575,3.84,406.927
56,i1162_65_8i,6.04025,1.23,312.276
57,i1163_19_5i,8.78569,12.11,1019.64
58,i116_06_3i,8.42771,1.36,190.266
59,i117_79_3i,6.04025,2.43,223.23
60,i117_81_7i,5.81413,8.39,390.56
61,i117_84_0i,6.04025,8.54,390.56
62,i118_74_1i,10.5104,5.86,284.784
63,i118_96_7i,7.82244,1.99,227.132
64,i119_90_4i,7.82244,2.08,244.292
65,i119_93_7i,4.56435,4.35,178.233
66,i120_12_7i,8.71932,3.37,162.187
67,i120_58_1i,6.04025,1.66,194.185
68,i120_61_6i,6.04025,1.66,194.185
69,i120_71_8i,7.82244,1.7,137.181
70,i120_80_9i,4.56435,1.03,110.111
71,i120_82_1i,7.82244,3.93,181.449
72,i120_83_2i,4.88922,2.8,163.003
73,i121_14_2i,7.82244,2.18,182.134
74,i121_69_7i,7.82244,2.17,121.182
75,i121_75_5i,6.50429,2.29,330.36
76,i122_39_4i,6.04025,3.29,169.226
77,i122_66_7i,7.82244,3.06,184.241
78,i123_31_9i,4.56435,1.03,110.111
79,i123_38_6i,4.56435,0.33,58.0794
80,i123_72_8i,4.56435,0.82,72.1062
81,i123_73_9i,4.56435,0.6,70.0904
82,i123_91_1i,7.82244,-0.32,88.1052
83,i124_40_3i,3.7013,-0.17,45.0843
84,i124_48_1i,7.82244,1.7,220.375
85,i126_72_7i,4.56435,4.19,733.896
86,i126_99_8i,7.82244,2.53,88.5365
87,i127_18_4i,8.77648,2.97,165.834
88,i128_66_5i,7.82244,6.28,332.357
89,i129_00_0i,10.1393,4.93,202.255
90,i131_11_3i,4.56435,1.66,194.185
91,i132_64_9i,6.04025,3.71,168.194
92,i1338_23_4i,6.04025,-0.43,174.195
93,i133_06_2i,6.61204,1.84,300.592
94,i134_32_7i,7.82244,2.25,143.188
95,i135_20_6i,7.82244,-1.73,153.14
96,i139_13_9i,6.04025,-3.81,191.138
97,i139_65_1i,6.04025,2.46,216.307
98,i140_88_5i,4.56435,1.22,100.116
99,i141_32_2i,4.56435,2.2,128.17
100,i141_78_6i,4.56435,0.86,88.1052
101,i143_50_0i,9.42416,4.91,490.639
102,i1464_53_5i,6.04025,-0.58,86.0894
103,i148_82_3i,6.04025,0.39,305.203
104,i151_56_4i,6.04025,-0.28,43.0685
105,i156_10_5i,7.82244,3.16,198.224
106,i156_62_7i,6.04025,-0.2,80.103
107,i1615_80_1i,6.04025,0.45,88.1528
108,i1634_04_4i,7.82244,1.43,88.1488
109,i1689_99_2i,5.8522,5.86,415.207
110,i1746_01_6i,9.40063,6.92,321.974
111,i1861_32_1i,7.18539,4.24,331.965
112,i1861_40_1i,7.43367,5.31,335.28
113,i18883_66_4i,6.04025,-1.61,265.221
114,i189_55_9i,8.8701,7.28,302.375
115,i191_24_2i,9.60777,6.7,276.337
116,i193_39_5i,9.67784,6.7,276.337
117,i205_99_2i,9.3622,6.11,252.315
118,i206_44_0i,8.84793,4.93,202.255
119,i207_08_9i,10.5078,6.11,252.315
120,i208_96_8i,7.11477,3.76,152.195
121,i218_01_9i,9.7082,5.52,228.293
122,i2234_13_1i,8.78569,8.33,403.734
123,i225_51_4i,8.78569,4.49,229.281
124,i2303_16_4i,7.09506,4.08,270.222
125,i298_00_0i,6.92756,2.75,263.209
126,i298_04_4i,5.66296,3.86,274.408
127,i302_01_2i,4.56435,-1.47,32.0456
128,i303_34_4i,6.04025,2.43,411.492
129,i309_00_2i,8.90273,6.75,364.913
130,i319_84_6i,7.85554,4.26,290.831
131,i319_85_7i,7.69984,4.26,290.831
132,i319_86_8i,7.42655,4.26,290.831
133,i330_55_2i,7.81278,2.91,249.096
134,i33820_53_0i,7.28893,5.8,309.364
135,i4549_40_0i,7.82244,-0.28,86.0934
136,i492_80_8i,7.82244,2.98,267.374
137,i505_60_2i,6.04025,2.41,159.079
138,i50_00_0i,4.56435,0.35,30.0258
139,i50_06_6i,6.04025,1.33,232.238
140,i50_07_7i,6.04025,-1.18,334.33
141,i50_18_0i,6.04025,0.97,261.088
142,i50_29_3i,11.2549,6.79,354.49
143,i50_32_8i,8.85993,6.11,252.315
144,i510_15_6i,6.22258,3.99,325.19
145,i51_28_5i,8.28577,1.73,184.107
146,i51_75_2i,7.82244,1.77,135.637
147,i51_79_6i,4.56435,-0.02,89.0933
148,i52_68_6i,6.31355,-0.28,257.436
149,i532_27_4i,6.04025,1.93,154.595
150,i534_52_1i,5.81711,2.27,198.133
151,i53_70_3i,9.6558,6.7,278.353
152,i53_96_3i,7.82244,3.12,223.274
153,i540_59_0i,7.82244,1.98,96.9438
154,i540_73_8i,6.04025,-0.54,60.0992
155,i541_41_3i,6.04025,0.63,108.523
156,i541_73_1i,7.82244,3.28,147.004
157,i542_75_6i,6.04025,2.29,110.971
158,i542_88_1i,6.04025,0.57,114.959
159,i55_18_5i,7.78322,0.34,102.136
160,i55_21_0i,5.31812,0.74,121.138
161,i55_63_0i,4.68213,1.51,227.084
162,i569_64_2i,7.82244,0.8,364.918
163,i56_04_2i,6.04025,1.45,142.181
164,i56_23_5i,8.77648,2.44,153.823
165,i56_49_5i,10.0903,7.05,268.357
166,i56_53_1i,7.82244,5.64,268.354
167,i56_55_3i,9.14676,5.52,228.293
168,i57_14_7i,5.8861,-1.19,60.0992
169,i57_24_9i,6.04025,1.85,334.417
170,i57_57_8i,4.56435,-0.8,72.0626
171,i57_74_9i,9.87755,6.6,409.781
172,i57_97_6i,6.35611,6.62,256.346
173,i58_89_9i,8.58073,4.26,290.831
174,i58_90_2i,7.82244,4.09,231.893
175,i593_60_2i,7.82244,1.52,112.997
176,i59756_60_4i,7.94874,4.48,329.32
177,i59_89_2i,7.82244,-0.43,116.119
178,i602_01_7i,7.82244,2.18,182.134
179,i606_20_2i,7.82244,2.18,182.134
180,i608_93_5i,8.77462,5.22,250.339
181,i60_09_3i,6.04025,3.19,197.24
182,i60_11_7i,6.04025,4.29,225.294
183,i60_34_4i,6.09582,-1,46.0724
184,i60_35_5i,4.56435,-1.16,59.0675
185,i60_51_5i,6.6896,0.28,229.26
186,i60_57_1i,9.6198,5.45,380.912
187,i610_39_9i,7.82244,2.18,182.134
188,i615_53_2i,4.56435,1.22,132.118
189,i619_15_8i,7.82244,2.18,182.134
190,i61_82_5i,7.82244,-0.3,84.0816
191,i621_64_7i,7.78821,1.33,130.19
192,i624_83_9i,6.04025,0.79,57.0517
193,i62_44_2i,6.04025,1.67,179.218
194,i62_50_0i,6.04025,-0.17,124.159
195,i62_55_5i,4.56435,-0.83,75.1345
196,i62_56_6i,4.56435,-1.31,76.1226
197,i62_75_9i,7.78821,-0.64,74.0824
198,i630_20_6i,7.82244,2.93,167.85
199,i63_25_2i,5.94017,2.35,201.224
200,i64_17_5i,2.78809,-0.14,46.0684
201,i64_18_6i,4.56435,-0.46,46.0248
202,i64_67_5i,6.04025,1.14,154.185
203,i66_75_1i,6.04025,0.64,252.1
204,i67_56_1i,4.56435,-0.63,32.0416
205,i67_63_0i,4.56435,0.28,60.0952
206,i67_64_1i,4.56435,-0.24,58.0794
207,i67_66_3i,7.82244,1.52,119.378
208,i67_72_1i,7.82244,4.03,236.74
209,i684_93_5i,7.82244,-0.52,103.081
210,i68_76_8i,6.04025,0.51,231.254
211,i70_25_7i,6.04025,-0.92,147.094
212,i70_30_4i,8.84448,6.92,406.906
213,i71_36_3i,4.56435,0.84,74.122
214,i71_43_2i,5.52943,1.99,78.1134
215,i71_55_6i,8.50835,2.68,133.405
216,i72_43_5i,8.78569,5.67,345.651
217,i72_54_8i,11.2742,5.87,320.045
218,i72_55_9i,11.2742,6.79,318.029
219,i74_83_9i,6.04025,1.18,100.986
220,i74_85_1i,5.8522,1.27,28.0536
221,i74_87_3i,6.04025,1.09,50.4877
222,i74_88_4i,6.04025,1.59,141.939
223,i74_90_8i,7.82244,-0.69,27.0259
224,i74_95_3i,6.04025,1.52,185.93
225,i759_73_9i,7.82244,-0.02,117.107
226,i75_00_3i,6.04025,1.58,64.5145
227,i75_01_4i,7.82244,1.62,62.4987
228,i75_05_8i,6.04025,-0.15,41.0527
229,i75_09_2i,6.04025,1.34,84.9328
230,i75_21_8i,7.82244,-0.05,44.0526
231,i75_25_2i,7.82244,1.79,270.873
232,i75_34_3i,7.71065,1.76,98.9596
233,i75_35_4i,7.82244,2.12,96.9438
234,i75_44_5i,6.04025,-0.71,98.916
235,i75_55_8i,6.04025,0.13,57.0953
236,i75_65_0i,7.82244,0.73,74.122
237,i75_69_4i,8.77648,2.13,137.368
238,i75_71_8i,7.82244,1.82,120.913
239,i75_99_0i,6.78897,1.68,142.969
240,i765_34_4i,6.04025,-0.12,72.0626
241,i76_13_1i,8.77648,3.09,187.375
242,i76_44_8i,6.87057,6.21,373.32
243,i77_47_4i,6.04025,4.63,272.773
244,i77_78_1i,6.04025,0.16,126.131
245,i78_00_2i,6.04025,4.88,323.446
246,i78_59_1i,6.04025,2.62,138.209
247,i78_79_5i,6.04025,2.58,68.1182
248,i78_83_1i,4.68213,0.77,74.122
249,i78_84_2i,4.56435,0.74,72.1062
250,i78_87_5i,9.76835,2.25,112.986
251,i78_92_2i,4.56435,0.77,74.122
252,i78_93_3i,4.56435,0.26,72.1062
253,i79_00_5i,8.78569,2.01,133.405
254,i79_01_6i,8.77648,2.47,131.389
255,i79_10_7i,4.56435,0.44,72.0626
256,i79_11_8i,4.56435,0.34,94.4967
257,i79_21_0i,4.56435,-1.07,76.0506
258,i79_34_5i,7.82244,2.19,167.85
259,i79_44_7i,6.04025,-0.72,107.539
260,i79_46_9i,7.82244,0.87,89.0933
261,i80_05_7i,7.6834,3.64,228.289
262,i80_15_9i,6.04025,2.16,152.192
263,i80_62_6i,6.04025,1.28,100.116
264,i81_07_2i,6.04025,0.45,183.186
265,i81_81_2i,6.04025,2.23,308.331
266,i82_28_0i,6.04025,4.07,237.257
267,i82_68_8i,9.30055,5.03,295.336
268,i83_32_9i,7.22366,4.15,154.211
269,i842_07_9i,6.04025,5.51,248.284
270,i84_66_2i,6.56244,2.65,222.239
271,i84_74_2i,5.66296,4.61,278.346
272,i85_01_8i,7.86019,4.35,178.233
273,i85_44_9i,4.56435,2.07,148.117
274,i85_68_7i,4.56435,4.84,312.363
275,i85_70_1i,4.56435,4.15,336.382
276,i86_30_6i,6.2691,3.16,198.224
277,i86_73_7i,7.0067,4.02,166.222
278,i87_62_7i,7.82244,2.17,121.182
279,i87_68_3i,7.82244,4.72,260.762
280,i87_86_5i,7.78821,4.74,266.338
281,i88_06_2i,6.82871,3.45,197.448
282,i88_75_5i,6.04025,1.91,139.11
283,i88_85_7i,7.59689,3.67,240.214
284,i88_89_1i,7.82244,1.54,229.104
285,i90_04_0i,7.82244,1.16,123.154
286,i90_43_7i,4.56435,3.28,170.21
287,i90_94_8i,6.04025,3.5,268.358
288,i91_08_7i,6.04025,3.74,174.158
289,i91_20_3i,5.50533,3.17,128.173
290,i91_22_5i,5.04986,2.14,129.161
291,i91_59_8i,7.82244,2.25,143.188
292,i91_94_1i,7.82244,3.21,253.131
293,i924_16_3i,7.78821,2.31,158.243
294,i92_52_4i,4.62497,3.76,154.211
295,i92_67_1i,4.56435,2.84,169.226
296,i92_87_5i,4.78749,1.92,184.241
297,i92_93_3i,5.8522,3.57,199.208
298,i930_55_2i,7.82244,0.23,100.12
299,i93_65_2i,5.31812,2.94,214.647
300,i93_76_5i,5.8861,3.26,255.483
301,i94_36_0i,4.56435,3.43,242.229
302,i94_58_6i,6.04025,3.58,164.203
303,i94_59_7i,6.04025,3.45,162.187
304,i94_74_6i,4.8828,2.52,200.62
305,i94_75_7i,6.57925,2.62,221.038
306,i94_82_6i,4.56435,3.6,249.092
307,i95_47_6i,6.04025,3.09,106.167
308,i95_48_7i,4.56435,2.06,108.139
309,i95_50_1i,7.82244,3.28,147.004
310,i95_53_4i,4.56435,1.62,107.155
311,i95_63_6i,6.04025,3.63,120.194
312,i95_80_7i,7.82244,0.16,122.17
313,i95_94_3i,7.82244,4.57,215.894
314,i95_95_4i,9.05439,3.45,197.448
315,i96_09_3i,4.56435,1.59,120.15
316,i96_12_8i,7.82244,2.68,248.428
317,i96_18_4i,8.77648,2.5,147.432
318,i96_33_3i,4.56435,0.73,86.0894
319,i96_45_7i,6.04025,-0.49,102.16
320,i97_56_3i,6.04025,4.29,225.294
321,i98_07_7i,4.56435,3.9,195.476
322,i98_82_8i,4.78749,3.45,120.194
323,i98_87_3i,6.04025,2.97,161.03
324,i98_88_4i,6.04025,1.44,140.569
325,i98_95_3i,7.834,1.81,123.111
326,i99_55_8i,5.8522,2.02,152.152
327,i99_59_2i,5.8522,1.55,168.151
328,i99_65_0i,7.82244,1.63,168.108
