raceId,year,round,circuitId,name,date
1,2009,1,1,Australian Grand Prix,1238306400
2,2009,2,2,Malaysian Grand Prix,1238922000
3,2009,3,17,Chinese Grand Prix,1240124400
4,2009,4,3,Bahrain Grand Prix,1240747200
5,2009,5,4,Spanish Grand Prix,1241956800
6,2009,6,6,Monaco Grand Prix,1243166400
7,2009,7,5,Turkish Grand Prix,1244376000
8,2009,8,9,British Grand Prix,1245585600
9,2009,9,20,German Grand Prix,1247400000
10,2009,10,11,Hungarian Grand Prix,1248609600
11,2009,11,12,European Grand Prix,1251028800
12,2009,12,13,Belgian Grand Prix,1251633600
13,2009,13,14,Italian Grand Prix,1252843200
14,2009,14,15,Singapore Grand Prix,1254052800
15,2009,15,22,Japanese Grand Prix,1254632400
16,2009,16,18,Brazilian Grand Prix,1255881600
17,2009,17,24,Abu Dhabi Grand Prix,1257073200
18,2008,1,1,Australian Grand Prix,1205641800
19,2008,2,2,Malaysian Grand Prix,1206255600
20,2008,3,3,Bahrain Grand Prix,1207481400
21,2008,4,4,Spanish Grand Prix,1209297600
22,2008,5,5,Turkish Grand Prix,1210507200
23,2008,6,6,Monaco Grand Prix,1211716800
24,2008,7,7,Canadian Grand Prix,1212944400
25,2008,8,8,French Grand Prix,1214136000
26,2008,9,9,British Grand Prix,1215345600
27,2008,10,10,German Grand Prix,1216555200
28,2008,11,11,Hungarian Grand Prix,1217764800
29,2008,12,12,European Grand Prix,1219579200
30,2008,13,13,Belgian Grand Prix,1220788800
31,2008,14,14,Italian Grand Prix,1221393600
32,2008,15,15,Singapore Grand Prix,1222603200
33,2008,16,16,Japanese Grand Prix,1223785800
34,2008,17,17,Chinese Grand Prix,1224399600
35,2008,18,18,Brazilian Grand Prix,1225645200
36,2007,1,1,Australian Grand Prix,1174186800
37,2007,2,2,Malaysian Grand Prix,1176015600
38,2007,3,3,Bahrain Grand Prix,1176636600
39,2007,4,4,Spanish Grand Prix,1179057600
40,2007,5,6,Monaco Grand Prix,1180267200
41,2007,6,7,Canadian Grand Prix,1181494800
42,2007,7,19,United States Grand Prix,1182099600
43,2007,8,8,French Grand Prix,1183291200
44,2007,9,9,British Grand Prix,1183896000
45,2007,10,20,European Grand Prix,1185105600
46,2007,11,11,Hungarian Grand Prix,1186315200
47,2007,12,5,Turkish Grand Prix,1188129600
48,2007,13,14,Italian Grand Prix,1189339200
49,2007,14,13,Belgian Grand Prix,1189944000
50,2007,15,16,Japanese Grand Prix,1191126600
51,2007,16,17,Chinese Grand Prix,1191736800
52,2007,17,18,Brazilian Grand Prix,1192982400
53,2006,1,3,Bahrain Grand Prix,1142173800
54,2006,2,2,Malaysian Grand Prix,1142780400
55,2006,3,1,Australian Grand Prix,1143986400
56,2006,4,21,San Marino Grand Prix,1145800800
57,2006,5,20,European Grand Prix,1147010400
58,2006,6,4,Spanish Grand Prix,1147615200
59,2006,7,6,Monaco Grand Prix,1148824800
60,2006,8,9,British Grand Prix,1150027200
61,2006,9,7,Canadian Grand Prix,1151240400
62,2006,10,19,United States Grand Prix,1151848800
63,2006,11,8,French Grand Prix,1153058400
64,2006,12,10,German Grand Prix,1154268000
65,2006,13,11,Hungarian Grand Prix,1154872800
66,2006,14,5,Turkish Grand Prix,1156690800
67,2006,15,14,Italian Grand Prix,1157896800
68,2006,16,17,Chinese Grand Prix,1159711200
69,2006,17,22,Japanese Grand Prix,1160316000
70,2006,18,18,Brazilian Grand Prix,1161525600
71,2005,1,1,Australian Grand Prix,1110117600
72,2005,2,2,Malaysian Grand Prix,1111330800
73,2005,3,3,Bahrain Grand Prix,1112538600
74,2005,4,21,San Marino Grand Prix,1114351200
75,2005,5,4,Spanish Grand Prix,1115560800
76,2005,6,6,Monaco Grand Prix,1116770400
77,2005,7,20,European Grand Prix,1117375200
78,2005,8,7,Canadian Grand Prix,1118581200
79,2005,9,19,United States Grand Prix,1119189600
80,2005,10,8,French Grand Prix,1120399200
81,2005,11,9,British Grand Prix,1121004000
82,2005,12,10,German Grand Prix,1122213600
83,2005,13,11,Hungarian Grand Prix,1122818400
84,2005,14,5,Turkish Grand Prix,1124636400
85,2005,15,14,Italian Grand Prix,1125842400
86,2005,16,13,Belgian Grand Prix,1126447200
87,2005,17,18,Brazilian Grand Prix,1127656800
88,2005,18,22,Japanese Grand Prix,1128866400
89,2005,19,17,Chinese Grand Prix,1129471200
90,2004,1,1,Australian Grand Prix,1078617600
91,2004,2,2,Malaysian Grand Prix,1079827200
92,2004,3,3,Bahrain Grand Prix,1081036800
93,2004,4,21,San Marino Grand Prix,1082851200
94,2004,5,4,Spanish Grand Prix,1084060800
95,2004,6,6,Monaco Grand Prix,1085270400
96,2004,7,20,European Grand Prix,1085875200
97,2004,8,7,Canadian Grand Prix,1087084800
98,2004,9,19,United States Grand Prix,1087689600
99,2004,10,8,French Grand Prix,1088899200
100,2004,11,9,British Grand Prix,1089504000
101,2004,12,10,German Grand Prix,1090713600
102,2004,13,11,Hungarian Grand Prix,1092528000
103,2004,14,13,Belgian Grand Prix,1093737600
104,2004,15,14,Italian Grand Prix,1094947200
105,2004,16,17,Chinese Grand Prix,1096156800
106,2004,17,22,Japanese Grand Prix,1097366400
107,2004,18,18,Brazilian Grand Prix,1098576000
108,2003,1,1,Australian Grand Prix,1047168000
109,2003,2,2,Malaysian Grand Prix,1048377600
110,2003,3,18,Brazilian Grand Prix,1049587200
111,2003,4,21,San Marino Grand Prix,1050796800
112,2003,5,4,Spanish Grand Prix,1052006400
113,2003,6,70,Austrian Grand Prix,1053216000
114,2003,7,6,Monaco Grand Prix,1054425600
115,2003,8,7,Canadian Grand Prix,1055635200
116,2003,9,20,European Grand Prix,1056844800
117,2003,10,8,French Grand Prix,1057449600
118,2003,11,9,British Grand Prix,1058659200
119,2003,12,10,German Grand Prix,1059868800
120,2003,13,11,Hungarian Grand Prix,1061683200
121,2003,14,14,Italian Grand Prix,1063497600
122,2003,15,19,United States Grand Prix,1064707200
123,2003,16,22,Japanese Grand Prix,1065916800
124,2002,1,1,Australian Grand Prix,1015113600
125,2002,2,2,Malaysian Grand Prix,1016323200
126,2002,3,18,Brazilian Grand Prix,1017532800
127,2002,4,21,San Marino Grand Prix,1018742400
128,2002,5,4,Spanish Grand Prix,1019952000
129,2002,6,70,Austrian Grand Prix,1021161600
130,2002,7,6,Monaco Grand Prix,1022371200
131,2002,8,7,Canadian Grand Prix,1023580800
132,2002,9,20,European Grand Prix,1024790400
133,2002,10,9,British Grand Prix,1026000000
134,2002,11,8,French Grand Prix,1027209600
135,2002,12,10,German Grand Prix,1027814400
136,2002,13,11,Hungarian Grand Prix,1029628800
137,2002,14,13,Belgian Grand Prix,1030838400
138,2002,15,14,Italian Grand Prix,1032048000
139,2002,16,19,United States Grand Prix,1033257600
140,2002,17,22,Japanese Grand Prix,1034467200
141,2001,1,1,Australian Grand Prix,983664000
142,2001,2,2,Malaysian Grand Prix,984873600
143,2001,3,18,Brazilian Grand Prix,986083200
144,2001,4,21,San Marino Grand Prix,987292800
145,2001,5,4,Spanish Grand Prix,988502400
146,2001,6,70,Austrian Grand Prix,989712000
147,2001,7,6,Monaco Grand Prix,990921600
148,2001,8,7,Canadian Grand Prix,992131200
149,2001,9,20,European Grand Prix,993340800
150,2001,10,8,French Grand Prix,993945600
151,2001,11,9,British Grand Prix,995155200
152,2001,12,10,German Grand Prix,996364800
153,2001,13,11,Hungarian Grand Prix,998179200
154,2001,14,13,Belgian Grand Prix,999388800
155,2001,15,14,Italian Grand Prix,1000598400
156,2001,16,19,United States Grand Prix,1001808000
157,2001,17,22,Japanese Grand Prix,1003017600
158,2000,1,1,Australian Grand Prix,952819200
159,2000,2,18,Brazilian Grand Prix,954028800
160,2000,3,21,San Marino Grand Prix,955238400
161,2000,4,9,British Grand Prix,956448000
162,2000,5,4,Spanish Grand Prix,957657600
163,2000,6,20,European Grand Prix,958867200
164,2000,7,6,Monaco Grand Prix,960076800
165,2000,8,7,Canadian Grand Prix,961286400
166,2000,9,8,French Grand Prix,962496000
167,2000,10,70,Austrian Grand Prix,963705600
168,2000,11,10,German Grand Prix,964915200
169,2000,12,11,Hungarian Grand Prix,966124800
170,2000,13,13,Belgian Grand Prix,967334400
171,2000,14,14,Italian Grand Prix,968544000
172,2000,15,19,United States Grand Prix,969753600
173,2000,16,22,Japanese Grand Prix,970963200
174,2000,17,2,Malaysian Grand Prix,972172800
175,1999,1,1,Australian Grand Prix,920764800
176,1999,2,18,Brazilian Grand Prix,923788800
177,1999,3,21,San Marino Grand Prix,925603200
178,1999,4,6,Monaco Grand Prix,926812800
179,1999,5,4,Spanish Grand Prix,928022400
180,1999,6,7,Canadian Grand Prix,929232000
181,1999,7,8,French Grand Prix,930441600
182,1999,8,9,British Grand Prix,931651200
183,1999,9,70,Austrian Grand Prix,932860800
184,1999,10,10,German Grand Prix,933465600
185,1999,11,11,Hungarian Grand Prix,934675200
186,1999,12,13,Belgian Grand Prix,935884800
187,1999,13,14,Italian Grand Prix,937094400
188,1999,14,20,European Grand Prix,938304000
189,1999,15,2,Malaysian Grand Prix,940118400
190,1999,16,22,Japanese Grand Prix,941328000
191,1998,1,1,Australian Grand Prix,889315200
192,1998,2,18,Brazilian Grand Prix,891129600
193,1998,3,25,Argentine Grand Prix,892339200
194,1998,4,21,San Marino Grand Prix,893548800
195,1998,5,4,Spanish Grand Prix,894758400
196,1998,6,6,Monaco Grand Prix,895968000
197,1998,7,7,Canadian Grand Prix,897177600
198,1998,8,8,French Grand Prix,898992000
199,1998,9,9,British Grand Prix,900201600
200,1998,10,70,Austrian Grand Prix,901411200
201,1998,11,10,German Grand Prix,902016000
202,1998,12,11,Hungarian Grand Prix,903225600
203,1998,13,13,Belgian Grand Prix,904435200
204,1998,14,14,Italian Grand Prix,905644800
205,1998,15,20,Luxembourg Grand Prix,906854400
206,1998,16,22,Japanese Grand Prix,909878400
207,1997,1,1,Australian Grand Prix,857865600
208,1997,2,18,Brazilian Grand Prix,859680000
209,1997,3,25,Argentine Grand Prix,860889600
210,1997,4,21,San Marino Grand Prix,862099200
211,1997,5,6,Monaco Grand Prix,863308800
212,1997,6,4,Spanish Grand Prix,864518400
213,1997,7,7,Canadian Grand Prix,866332800
214,1997,8,8,French Grand Prix,867542400
215,1997,9,9,British Grand Prix,868752000
216,1997,10,10,German Grand Prix,869961600
217,1997,11,11,Hungarian Grand Prix,871171200
218,1997,12,13,Belgian Grand Prix,872380800
219,1997,13,14,Italian Grand Prix,873590400
220,1997,14,70,Austrian Grand Prix,874800000
221,1997,15,20,Luxembourg Grand Prix,875404800
222,1997,16,22,Japanese Grand Prix,876614400
223,1997,17,26,European Grand Prix,877824000
224,1996,1,1,Australian Grand Prix,826416000
225,1996,2,18,Brazilian Grand Prix,828230400
226,1996,3,25,Argentine Grand Prix,828835200
227,1996,4,20,European Grand Prix,830649600
228,1996,5,21,San Marino Grand Prix,831254400
229,1996,6,6,Monaco Grand Prix,832464000
230,1996,7,4,Spanish Grand Prix,833673600
231,1996,8,7,Canadian Grand Prix,834883200
232,1996,9,8,French Grand Prix,836092800
233,1996,10,9,British Grand Prix,837302400
234,1996,11,10,German Grand Prix,838512000
235,1996,12,11,Hungarian Grand Prix,839721600
236,1996,13,13,Belgian Grand Prix,840931200
237,1996,14,14,Italian Grand Prix,842140800
238,1996,15,27,Portuguese Grand Prix,843350400
239,1996,16,22,Japanese Grand Prix,845164800
240,1995,1,18,Brazilian Grand Prix,796176000
241,1995,2,25,Argentine Grand Prix,797385600
242,1995,3,21,San Marino Grand Prix,799200000
243,1995,4,4,Spanish Grand Prix,800409600
244,1995,5,6,Monaco Grand Prix,801619200
245,1995,6,7,Canadian Grand Prix,802828800
246,1995,7,8,French Grand Prix,804643200
247,1995,8,9,British Grand Prix,805852800
248,1995,9,10,German Grand Prix,807062400
249,1995,10,11,Hungarian Grand Prix,808272000
250,1995,11,13,Belgian Grand Prix,809481600
251,1995,12,14,Italian Grand Prix,810691200
252,1995,13,27,Portuguese Grand Prix,811900800
253,1995,14,20,European Grand Prix,812505600
254,1995,15,28,Pacific Grand Prix,814320000
255,1995,16,22,Japanese Grand Prix,814924800
256,1995,17,29,Australian Grand Prix,816134400
257,1994,1,18,Brazilian Grand Prix,764726400
258,1994,2,28,Pacific Grand Prix,766540800
259,1994,3,21,San Marino Grand Prix,767750400
260,1994,4,6,Monaco Grand Prix,768960000
261,1994,5,4,Spanish Grand Prix,770169600
262,1994,6,7,Canadian Grand Prix,771379200
263,1994,7,8,French Grand Prix,773193600
264,1994,8,9,British Grand Prix,773798400
265,1994,9,10,German Grand Prix,775612800
266,1994,10,11,Hungarian Grand Prix,776822400
267,1994,11,13,Belgian Grand Prix,778032000
268,1994,12,14,Italian Grand Prix,779241600
269,1994,13,27,Portuguese Grand Prix,780451200
270,1994,14,26,European Grand Prix,782265600
271,1994,15,22,Japanese Grand Prix,784080000
272,1994,16,29,Australian Grand Prix,784684800
273,1993,1,30,South African Grand Prix,732067200
274,1993,2,18,Brazilian Grand Prix,733276800
275,1993,3,31,European Grand Prix,734486400
276,1993,4,21,San Marino Grand Prix,735696000
277,1993,5,4,Spanish Grand Prix,736905600
278,1993,6,6,Monaco Grand Prix,738115200
279,1993,7,7,Canadian Grand Prix,739929600
280,1993,8,8,French Grand Prix,741744000
281,1993,9,9,British Grand Prix,742348800
282,1993,10,10,German Grand Prix,743558400
283,1993,11,11,Hungarian Grand Prix,745372800
284,1993,12,13,Belgian Grand Prix,746582400
285,1993,13,14,Italian Grand Prix,747792000
286,1993,14,27,Portuguese Grand Prix,749001600
287,1993,15,22,Japanese Grand Prix,751420800
288,1993,16,29,Australian Grand Prix,752630400
289,1992,1,30,South African Grand Prix,699408000
290,1992,2,32,Mexican Grand Prix,701222400
291,1992,3,18,Brazilian Grand Prix,702432000
292,1992,4,4,Spanish Grand Prix,704851200
293,1992,5,21,San Marino Grand Prix,706060800
294,1992,6,6,Monaco Grand Prix,707270400
295,1992,7,7,Canadian Grand Prix,708480000
296,1992,8,8,French Grand Prix,710294400
297,1992,9,9,British Grand Prix,710899200
298,1992,10,10,German Grand Prix,712108800
299,1992,11,11,Hungarian Grand Prix,713923200
300,1992,12,13,Belgian Grand Prix,715132800
301,1992,13,14,Italian Grand Prix,716342400
302,1992,14,27,Portuguese Grand Prix,717552000
303,1992,15,22,Japanese Grand Prix,719971200
304,1992,16,29,Australian Grand Prix,721180800
305,1991,1,33,United States Grand Prix,668563200
306,1991,2,18,Brazilian Grand Prix,669772800
307,1991,3,21,San Marino Grand Prix,672796800
308,1991,4,6,Monaco Grand Prix,674006400
309,1991,5,7,Canadian Grand Prix,675820800
310,1991,6,32,Mexican Grand Prix,677030400
311,1991,7,8,French Grand Prix,678844800
312,1991,8,9,British Grand Prix,679449600
313,1991,9,10,German Grand Prix,680659200
314,1991,10,11,Hungarian Grand Prix,681868800
315,1991,11,13,Belgian Grand Prix,683078400
316,1991,12,14,Italian Grand Prix,684288000
317,1991,13,27,Portuguese Grand Prix,685497600
318,1991,14,4,Spanish Grand Prix,686102400
319,1991,15,22,Japanese Grand Prix,687916800
320,1991,16,29,Australian Grand Prix,689126400
321,1990,1,33,United States Grand Prix,637113600
322,1990,2,18,Brazilian Grand Prix,638323200
323,1990,3,21,San Marino Grand Prix,642556800
324,1990,4,6,Monaco Grand Prix,643766400
325,1990,5,7,Canadian Grand Prix,644976000
326,1990,6,32,Mexican Grand Prix,646185600
327,1990,7,34,French Grand Prix,647395200
328,1990,8,9,British Grand Prix,648000000
329,1990,9,10,German Grand Prix,649209600
330,1990,10,11,Hungarian Grand Prix,650419200
331,1990,11,13,Belgian Grand Prix,651628800
332,1990,12,14,Italian Grand Prix,652838400
333,1990,13,27,Portuguese Grand Prix,654048000
334,1990,14,26,Spanish Grand Prix,654652800
335,1990,15,22,Japanese Grand Prix,656467200
336,1990,16,29,Australian Grand Prix,657676800
337,2010,1,3,Bahrain Grand Prix,1268568000
338,2010,2,1,Australian Grand Prix,1269756000
339,2010,3,2,Malaysian Grand Prix,1270368000
340,2010,4,17,Chinese Grand Prix,1271570400
341,2010,5,4,Spanish Grand Prix,1273406400
342,2010,6,6,Monaco Grand Prix,1274011200
343,2010,7,5,Turkish Grand Prix,1275217200
344,2010,8,7,Canadian Grand Prix,1276444800
345,2010,9,12,European Grand Prix,1277640000
346,2010,10,9,British Grand Prix,1278849600
347,2010,11,10,German Grand Prix,1280059200
348,2010,12,11,Hungarian Grand Prix,1280664000
349,2010,13,13,Belgian Grand Prix,1283083200
350,2010,14,14,Italian Grand Prix,1284292800
351,2010,15,15,Singapore Grand Prix,1285502400
352,2010,16,22,Japanese Grand Prix,1286690400
353,2010,17,35,Korean Grand Prix,1287896400
354,2010,18,18,Brazilian Grand Prix,1289145600
355,2010,19,24,Abu Dhabi Grand Prix,1289739600
356,1989,1,36,Brazilian Grand Prix,606873600
357,1989,2,21,San Marino Grand Prix,609292800
358,1989,3,6,Monaco Grand Prix,610502400
359,1989,4,32,Mexican Grand Prix,612316800
360,1989,5,33,United States Grand Prix,612921600
361,1989,6,7,Canadian Grand Prix,614131200
362,1989,7,34,French Grand Prix,615945600
363,1989,8,9,British Grand Prix,616550400
364,1989,9,10,German Grand Prix,617760000
365,1989,10,11,Hungarian Grand Prix,618969600
366,1989,11,13,Belgian Grand Prix,620179200
367,1989,12,14,Italian Grand Prix,621388800
368,1989,13,27,Portuguese Grand Prix,622598400
369,1989,14,26,Spanish Grand Prix,623203200
370,1989,15,22,Japanese Grand Prix,625017600
371,1989,16,29,Australian Grand Prix,626227200
372,1988,1,36,Brazilian Grand Prix,576028800
373,1988,2,21,San Marino Grand Prix,578448000
374,1988,3,6,Monaco Grand Prix,579657600
375,1988,4,32,Mexican Grand Prix,580867200
376,1988,5,7,Canadian Grand Prix,582076800
377,1988,6,37,Detroit Grand Prix,582681600
378,1988,7,34,French Grand Prix,583891200
379,1988,8,9,British Grand Prix,584496000
380,1988,9,10,German Grand Prix,585705600
381,1988,10,11,Hungarian Grand Prix,586915200
382,1988,11,13,Belgian Grand Prix,588729600
383,1988,12,14,Italian Grand Prix,589939200
384,1988,13,27,Portuguese Grand Prix,591148800
385,1988,14,26,Spanish Grand Prix,591753600
386,1988,15,22,Japanese Grand Prix,594172800
387,1988,16,29,Australian Grand Prix,595382400
388,1987,1,36,Brazilian Grand Prix,545184000
389,1987,2,21,San Marino Grand Prix,546998400
390,1987,3,13,Belgian Grand Prix,548208000
391,1987,4,6,Monaco Grand Prix,549417600
392,1987,5,37,Detroit Grand Prix,551232000
393,1987,6,34,French Grand Prix,552441600
394,1987,7,9,British Grand Prix,553046400
395,1987,8,10,German Grand Prix,554256000
396,1987,9,11,Hungarian Grand Prix,555465600
397,1987,10,70,Austrian Grand Prix,556070400
398,1987,11,14,Italian Grand Prix,557884800
399,1987,12,27,Portuguese Grand Prix,559094400
400,1987,13,26,Spanish Grand Prix,559699200
401,1987,14,32,Mexican Grand Prix,561513600
402,1987,15,22,Japanese Grand Prix,562723200
403,1987,16,29,Australian Grand Prix,563932800
404,1986,1,36,Brazilian Grand Prix,511920000
405,1986,2,26,Spanish Grand Prix,513734400
406,1986,3,21,San Marino Grand Prix,514944000
407,1986,4,6,Monaco Grand Prix,516153600
408,1986,5,13,Belgian Grand Prix,517363200
409,1986,6,7,Canadian Grand Prix,519177600
410,1986,7,37,Detroit Grand Prix,519782400
411,1986,8,34,French Grand Prix,520992000
412,1986,9,38,British Grand Prix,521596800
413,1986,10,10,German Grand Prix,522806400
414,1986,11,11,Hungarian Grand Prix,524016000
415,1986,12,70,Austrian Grand Prix,524620800
416,1986,13,14,Italian Grand Prix,526435200
417,1986,14,27,Portuguese Grand Prix,527644800
418,1986,15,32,Mexican Grand Prix,529459200
419,1986,16,29,Australian Grand Prix,530668800
420,1985,1,36,Brazilian Grand Prix,481680000
421,1985,2,27,Portuguese Grand Prix,482889600
422,1985,3,21,San Marino Grand Prix,484099200
423,1985,4,6,Monaco Grand Prix,485308800
424,1985,5,7,Canadian Grand Prix,487728000
425,1985,6,37,Detroit Grand Prix,488332800
426,1985,7,34,French Grand Prix,489542400
427,1985,8,9,British Grand Prix,490752000
428,1985,9,20,German Grand Prix,491961600
429,1985,10,70,Austrian Grand Prix,493171200
430,1985,11,39,Dutch Grand Prix,493776000
431,1985,12,14,Italian Grand Prix,494985600
432,1985,13,13,Belgian Grand Prix,495590400
433,1985,14,38,European Grand Prix,497404800
434,1985,15,30,South African Grand Prix,498528000
435,1985,16,29,Australian Grand Prix,499824000
436,1984,1,36,Brazilian Grand Prix,449020800
437,1984,2,30,South African Grand Prix,450144000
438,1984,3,40,Belgian Grand Prix,452044800
439,1984,4,21,San Marino Grand Prix,452649600
440,1984,5,41,French Grand Prix,453859200
441,1984,6,6,Monaco Grand Prix,455068800
442,1984,7,7,Canadian Grand Prix,456278400
443,1984,8,37,Detroit Grand Prix,456883200
444,1984,9,42,Dallas Grand Prix,458092800
445,1984,10,38,British Grand Prix,459302400
446,1984,11,10,German Grand Prix,460512000
447,1984,12,70,Austrian Grand Prix,461721600
448,1984,13,39,Dutch Grand Prix,462326400
449,1984,14,14,Italian Grand Prix,463536000
450,1984,15,20,European Grand Prix,465955200
451,1984,16,27,Portuguese Grand Prix,467164800
452,1983,1,36,Brazilian Grand Prix,416361600
453,1983,2,43,United States Grand Prix West,417571200
454,1983,3,34,French Grand Prix,419385600
455,1983,4,21,San Marino Grand Prix,420595200
456,1983,5,6,Monaco Grand Prix,421804800
457,1983,6,13,Belgian Grand Prix,422409600
458,1983,7,37,Detroit Grand Prix,423619200
459,1983,8,7,Canadian Grand Prix,424224000
460,1983,9,9,British Grand Prix,427161600
461,1983,10,10,German Grand Prix,429062400
462,1983,11,70,Austrian Grand Prix,429667200
463,1983,12,39,Dutch Grand Prix,430876800
464,1983,13,14,Italian Grand Prix,432086400
465,1983,14,38,European Grand Prix,433296000
466,1983,15,30,South African Grand Prix,435024000
467,1982,1,30,South African Grand Prix,380592000
468,1982,2,36,Brazilian Grand Prix,385516800
469,1982,3,43,United States Grand Prix West,386726400
470,1982,4,21,San Marino Grand Prix,388540800
471,1982,5,40,Belgian Grand Prix,389750400
472,1982,6,6,Monaco Grand Prix,390960000
473,1982,7,37,Detroit Grand Prix,392169600
474,1982,8,7,Canadian Grand Prix,392774400
475,1982,9,39,Dutch Grand Prix,394502400
476,1982,10,38,British Grand Prix,395798400
477,1982,11,34,French Grand Prix,396403200
478,1982,12,10,German Grand Prix,397612800
479,1982,13,70,Austrian Grand Prix,398217600
480,1982,14,41,Swiss Grand Prix,399427200
481,1982,15,14,Italian Grand Prix,400636800
482,1982,16,44,Caesars Palace Grand Prix,401760000
483,1981,1,43,United States Grand Prix West,353462400
484,1981,2,36,Brazilian Grand Prix,354672000
485,1981,3,25,Argentine Grand Prix,355881600
486,1981,4,21,San Marino Grand Prix,357696000
487,1981,5,40,Belgian Grand Prix,358905600
488,1981,6,6,Monaco Grand Prix,360115200
489,1981,7,45,Spanish Grand Prix,361929600
490,1981,8,41,French Grand Prix,363139200
491,1981,9,9,British Grand Prix,364262400
492,1981,10,10,German Grand Prix,365558400
493,1981,11,70,Austrian Grand Prix,366768000
494,1981,12,39,Dutch Grand Prix,367977600
495,1981,13,14,Italian Grand Prix,369187200
496,1981,14,7,Canadian Grand Prix,370396800
497,1981,15,44,Caesars Palace Grand Prix,372124800
498,1980,1,25,Argentine Grand Prix,316569600
499,1980,2,18,Brazilian Grand Prix,317779200
500,1980,3,30,South African Grand Prix,320716800
501,1980,4,43,United States Grand Prix West,323222400
502,1980,5,40,Belgian Grand Prix,326246400
503,1980,6,6,Monaco Grand Prix,327456000
504,1980,7,34,French Grand Prix,331084800
505,1980,8,38,British Grand Prix,332294400
506,1980,9,10,German Grand Prix,334713600
507,1980,10,70,Austrian Grand Prix,335318400
508,1980,11,39,Dutch Grand Prix,336528000
509,1980,12,21,Italian Grand Prix,337737600
510,1980,13,7,Canadian Grand Prix,338947200
511,1980,14,46,United States Grand Prix,339552000
512,1979,1,25,Argentine Grand Prix,285724800
513,1979,2,18,Brazilian Grand Prix,286934400
514,1979,3,30,South African Grand Prix,289267200
515,1979,4,43,United States Grand Prix West,292377600
516,1979,5,45,Spanish Grand Prix,294192000
517,1979,6,40,Belgian Grand Prix,295401600
518,1979,7,6,Monaco Grand Prix,296611200
519,1979,8,41,French Grand Prix,299635200
520,1979,9,9,British Grand Prix,300758400
521,1979,10,10,German Grand Prix,302054400
522,1979,11,70,Austrian Grand Prix,303264000
523,1979,12,39,Dutch Grand Prix,304473600
524,1979,13,14,Italian Grand Prix,305683200
525,1979,14,7,Canadian Grand Prix,307497600
526,1979,15,46,United States Grand Prix,308102400
527,1978,1,25,Argentine Grand Prix,253670400
528,1978,2,36,Brazilian Grand Prix,254880000
529,1978,3,30,South African Grand Prix,257817600
530,1978,4,43,United States Grand Prix West,260323200
531,1978,5,6,Monaco Grand Prix,263347200
532,1978,6,40,Belgian Grand Prix,264556800
533,1978,7,45,Spanish Grand Prix,265766400
534,1978,8,47,Swedish Grand Prix,266889600
535,1978,9,34,French Grand Prix,268185600
536,1978,10,38,British Grand Prix,269395200
537,1978,11,10,German Grand Prix,270604800
538,1978,12,70,Austrian Grand Prix,271814400
539,1978,13,39,Dutch Grand Prix,273024000
540,1978,14,14,Italian Grand Prix,274233600
541,1978,15,46,United States Grand Prix,276048000
542,1978,16,7,Canadian Grand Prix,276652800
543,1977,1,25,Argentine Grand Prix,221616000
544,1977,2,18,Brazilian Grand Prix,222825600
545,1977,3,30,South African Grand Prix,226368000
546,1977,4,43,United States Grand Prix West,228873600
547,1977,5,45,Spanish Grand Prix,231897600
548,1977,6,6,Monaco Grand Prix,233107200
549,1977,7,40,Belgian Grand Prix,234316800
550,1977,8,47,Swedish Grand Prix,235526400
551,1977,9,41,French Grand Prix,236736000
552,1977,10,9,British Grand Prix,237859200
